Date_Time;h[m];h_nonsys_uncertainty[m];h_sys_resampling_indices;h_sys_uncertainty[m]
2022/06/23 17:38:20;0.435;0.01;1;0.01
2022/06/23 18:35:00;0.435;0.01;1;0.01
2022/06/23 19:38:20;0.435;0.01;1;0.01
2022/06/23 20:41:40;0.436;0.01;1;0.01
2022/06/23 21:35:00;0.438;0.01;1;0.01
2022/06/23 22:10:00;0.443;0.01;1;0.01
2022/06/23 22:35:00;0.45;0.01;2;0.01
2022/06/23 23:10:00;0.455;0.01;2;0.01
2022/06/24 00:33:20;0.454;0.01;2;0.01
2022/06/24 02:51:40;0.451;0.01;2;0.01
2022/06/24 05:50:00;0.448;0.01;2;0.01
2022/06/24 08:21:40;0.448;0.01;2;0.01
2022/06/24 10:20:00;0.45;0.01;2;0.01
2022/06/24 11:51:40;0.453;0.01;2;0.01
2022/06/24 13:35:00;0.458;0.01;2;0.01
2022/06/24 15:03:20;0.463;0.01;2;0.01
2022/06/24 16:08:20;0.467;0.01;2;0.01
2022/06/24 16:41:40;0.471;0.01;2;0.01
2022/06/24 17:11:40;0.474;0.01;2;0.01
2022/06/24 18:01:40;0.478;0.01;2;0.01
2022/06/24 19:38:20;0.48;0.01;2;0.01
2022/06/24 21:48:20;0.481;0.01;2;0.01
2022/06/25 00:26:40;0.478;0.01;2;0.01
2022/06/25 02:55:00;0.473;0.01;2;0.01
2022/06/25 05:43:20;0.468;0.01;2;0.01
2022/06/25 08:11:40;0.464;0.01;2;0.01
2022/06/25 10:26:40;0.46;0.01;2;0.01
2022/06/25 11:41:40;0.459;0.01;2;0.01
2022/06/25 12:26:40;0.458;0.01;2;0.01
2022/06/25 12:48:20;0.458;0.01;2;0.01
2022/06/25 13:13:20;0.457;0.01;2;0.01
2022/06/25 13:38:20;0.457;0.01;2;0.01
2022/06/25 14:15:00;0.456;0.01;2;0.01
2022/06/25 14:58:20;0.455;0.01;2;0.01
2022/06/25 15:55:00;0.454;0.01;2;0.01
2022/06/25 16:53:20;0.453;0.01;2;0.01
2022/06/25 17:55:00;0.453;0.01;2;0.01
2022/06/25 19:10:00;0.453;0.01;2;0.01
2022/06/25 21:53:20;0.454;0.01;2;0.01
2022/06/26 02:11:40;0.453;0.01;2;0.01
2022/06/26 07:55:00;0.453;0.01;2;0.01
2022/06/26 12:43:20;0.451;0.01;2;0.01
2022/06/26 16:28:20;0.451;0.01;2;0.01
2022/06/26 19:00:00;0.451;0.01;2;0.01
2022/06/26 21:10:00;0.452;0.01;2;0.01
2022/06/26 23:26:40;0.452;0.01;2;0.01
2022/06/27 01:38:20;0.452;0.01;2;0.01
2022/06/27 04:08:20;0.452;0.01;2;0.01
2022/06/27 06:13:20;0.451;0.01;2;0.01
2022/06/27 08:23:20;0.451;0.01;2;0.01
2022/06/27 10:23:20;0.451;0.01;2;0.01
2022/06/27 12:26:40;0.451;0.01;2;0.01
2022/06/27 14:25:00;0.451;0.01;2;0.01
2022/06/27 16:28:20;0.451;0.01;2;0.01
2022/06/27 18:35:00;0.452;0.01;2;0.01
2022/06/27 20:41:40;0.453;0.01;2;0.01
2022/06/27 22:55:00;0.453;0.01;2;0.01
2022/06/28 01:38:20;0.453;0.01;2;0.01
2022/06/28 04:30:00;0.453;0.01;2;0.01
2022/06/28 07:06:40;0.451;0.01;2;0.01
2022/06/28 09:10:00;0.45;0.01;2;0.01
2022/06/28 10:56:40;0.449;0.01;2;0.01
2022/06/28 12:50:00;0.449;0.01;2;0.01
2022/06/28 15:10:00;0.448;0.01;2;0.01
2022/06/28 18:03:20;0.447;0.01;2;0.01
2022/06/28 21:43:20;0.446;0.01;2;0.01
2022/06/29 01:03:20;0.445;0.01;2;0.01
2022/06/29 04:08:20;0.444;0.01;2;0.01
2022/06/29 06:08:20;0.444;0.01;2;0.01
2022/06/29 08:26:40;0.443;0.01;2;0.01
2022/06/29 10:43:20;0.442;0.01;2;0.01
2022/06/29 13:21:40;0.441;0.01;2;0.01
2022/06/29 15:08:20;0.44;0.01;2;0.01
2022/06/29 16:21:40;0.439;0.01;2;0.01
2022/06/29 17:00:00;0.439;0.01;2;0.01
2022/06/29 17:43:20;0.438;0.01;2;0.01
2022/06/29 18:51:40;0.438;0.01;2;0.01
2022/06/29 21:13:20;0.437;0.01;2;0.01
2022/06/30 00:41:40;0.437;0.01;2;0.01
2022/06/30 04:38:20;0.436;0.01;2;0.01
2022/06/30 09:23:20;0.435;0.01;2;0.01
2022/06/30 15:36:40;0.434;0.01;2;0.01
2022/06/30 23:13:20;0.433;0.01;2;0.01
2022/07/01 05:30:00;0.432;0.01;2;0.01
2022/07/01 09:16:40;0.432;0.01;2;0.01
2022/07/01 10:48:20;0.432;0.01;2;0.01
2022/07/01 11:45:00;0.432;0.01;2;0.01
2022/07/01 13:11:40;0.432;0.01;2;0.01
2022/07/01 15:16:40;0.431;0.01;2;0.01
2022/07/01 17:53:20;0.429;0.01;2;0.01
2022/07/01 20:51:40;0.429;0.01;2;0.01
2022/07/02 00:16:40;0.429;0.01;2;0.01
2022/07/02 04:35:00;0.429;0.01;2;0.01
2022/07/02 08:28:20;0.428;0.01;2;0.01
2022/07/02 12:03:20;0.427;0.01;2;0.01
2022/07/02 15:08:20;0.426;0.01;2;0.01
2022/07/02 19:16:40;0.426;0.01;2;0.01
2022/07/02 23:30:00;0.426;0.01;2;0.01
2022/07/03 03:35:00;0.426;0.01;2;0.01
2022/07/03 06:20:00;0.425;0.01;2;0.01
2022/07/03 08:41:40;0.424;0.01;2;0.01
2022/07/03 10:21:40;0.424;0.01;2;0.01
2022/07/03 12:30:00;0.423;0.01;2;0.01
2022/07/03 14:41:40;0.422;0.01;2;0.01
2022/07/03 17:30:00;0.421;0.01;2;0.01
2022/07/03 19:53:20;0.421;0.01;2;0.01
2022/07/03 22:41:40;0.421;0.01;2;0.01
2022/07/04 01:46:40;0.421;0.01;2;0.01
2022/07/04 05:51:40;0.42;0.01;2;0.01
2022/07/04 09:25:00;0.42;0.01;2;0.01
2022/07/04 12:25:00;0.419;0.01;2;0.01
2022/07/04 14:11:40;0.418;0.01;2;0.01
2022/07/04 15:46:40;0.418;0.01;2;0.01
2022/07/04 17:35:00;0.418;0.01;2;0.01
2022/07/04 20:35:00;0.418;0.01;2;0.01
2022/07/05 00:25:00;0.418;0.01;2;0.01
2022/07/05 04:23:20;0.418;0.01;2;0.01
2022/07/05 07:56:40;0.418;0.01;2;0.01
2022/07/05 11:35:00;0.416;0.01;2;0.01
2022/07/05 16:11:40;0.414;0.01;2;0.01
2022/07/05 21:16:40;0.413;0.01;2;0.01
2022/07/06 02:18:20;0.413;0.01;2;0.01
2022/07/06 05:45:00;0.413;0.01;2;0.01
2022/07/06 07:56:40;0.413;0.01;2;0.01
2022/07/06 09:05:00;0.413;0.01;2;0.01
2022/07/06 10:26:40;0.412;0.01;2;0.01
2022/07/06 12:21:40;0.411;0.01;2;0.01
2022/07/06 14:53:20;0.411;0.01;2;0.01
2022/07/06 17:21:40;0.41;0.01;2;0.01
2022/07/06 19:21:40;0.41;0.01;2;0.01
2022/07/06 21:25:00;0.41;0.01;2;0.01
